#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C4A	C3AR1	9606.ENSP00000396688	9606.ENSP00000302079	0	0	0	0	0.077	0.249	0	0.683	0.762
C4A	CFHR1	9606.ENSP00000396688	9606.ENSP00000314299	0	0	0	0	0	0.297	0	0.602	0.708
C4A	CFD	9606.ENSP00000396688	9606.ENSP00000332139	0	0	0	0	0.063	0.366	0	0.411	0.620
C4A	COLEC10	9606.ENSP00000396688	9606.ENSP00000332723	0	0	0	0	0.062	0	0.900	0.297	0.928
C4A	C5AR1	9606.ENSP00000396688	9606.ENSP00000347197	0	0	0	0	0.056	0.086	0	0.683	0.703
C4A	HLA-DRB1	9606.ENSP00000396688	9606.ENSP00000353099	0	0	0	0	0.080	0	0	0.469	0.490
C4A	SERPINC1	9606.ENSP00000396688	9606.ENSP00000356671	0	0	0	0	0.142	0	0	0.556	0.602
C4A	MBL2	9606.ENSP00000396688	9606.ENSP00000363079	0	0	0	0	0.103	0	0.900	0.720	0.972
C4A	PROS1	9606.ENSP00000396688	9606.ENSP00000377783	0	0	0	0	0.089	0	0	0.899	0.904
C4A	IL10	9606.ENSP00000396688	9606.ENSP00000412237	0	0	0	0	0	0	0	0.404	0.404
C4A	HLA-B	9606.ENSP00000396688	9606.ENSP00000399168	0	0	0	0	0.088	0	0	0.529	0.552
C4A	IGLL5	9606.ENSP00000396688	9606.ENSP00000431254	0	0	0	0	0	0	0.900	0.066	0.902
C4A	CFB	9606.ENSP00000396688	9606.ENSP00000416561	0	0	0	0	0.310	0.134	0.600	0.700	0.919
C4A	C4B	9606.ENSP00000396688	9606.ENSP00000415941	0	0	0	0.988	0.771	0.270	0.800	0.988	0.964
C4B	C5	9606.ENSP00000415941	9606.ENSP00000223642	0	0	0	0.691	0.063	0	0.900	0.906	0.929
C4B	C3AR1	9606.ENSP00000415941	9606.ENSP00000302079	0	0	0	0	0.074	0.086	0	0.796	0.813
C4B	CFHR1	9606.ENSP00000415941	9606.ENSP00000314299	0	0	0	0	0	0.297	0	0.600	0.706
C4B	CFD	9606.ENSP00000415941	9606.ENSP00000332139	0	0	0	0	0.063	0.366	0	0.430	0.632
C4B	COLEC10	9606.ENSP00000415941	9606.ENSP00000332723	0	0	0	0	0.062	0	0.900	0.294	0.927
C4B	C5AR1	9606.ENSP00000415941	9606.ENSP00000347197	0	0	0	0	0.056	0.086	0	0.683	0.703
C4B	HLA-DRB1	9606.ENSP00000415941	9606.ENSP00000353099	0	0	0	0	0.084	0	0	0.465	0.489
C4B	SERPINC1	9606.ENSP00000415941	9606.ENSP00000356671	0	0	0	0	0.134	0	0	0.520	0.567
C4B	MBL2	9606.ENSP00000415941	9606.ENSP00000363079	0	0	0	0	0.099	0	0.900	0.734	0.973
C4B	PROS1	9606.ENSP00000415941	9606.ENSP00000377783	0	0	0	0	0.083	0	0	0.977	0.978
C4B	C4A	9606.ENSP00000415941	9606.ENSP00000396688	0	0	0	0.988	0.771	0.270	0.800	0.988	0.964
C4B	HLA-B	9606.ENSP00000415941	9606.ENSP00000399168	0	0	0	0	0.077	0	0	0.523	0.540
C4B	IL10	9606.ENSP00000415941	9606.ENSP00000412237	0	0	0	0	0	0	0	0.402	0.402
C4B	IGLL5	9606.ENSP00000415941	9606.ENSP00000431254	0	0	0	0	0	0	0.900	0.118	0.908
C4B	CFB	9606.ENSP00000415941	9606.ENSP00000416561	0	0	0	0	0.231	0.289	0.600	0.700	0.925
C5	SERPINC1	9606.ENSP00000223642	9606.ENSP00000356671	0	0	0	0	0.193	0	0	0.308	0.418
C5	CFD	9606.ENSP00000223642	9606.ENSP00000332139	0	0	0	0	0.049	0.134	0	0.429	0.488
C5	MBL2	9606.ENSP00000223642	9606.ENSP00000363079	0	0	0	0	0.110	0	0	0.534	0.568
C5	CFHR1	9606.ENSP00000223642	9606.ENSP00000314299	0	0	0	0	0	0.417	0	0.460	0.671
C5	C3AR1	9606.ENSP00000223642	9606.ENSP00000302079	0	0	0	0	0	0.134	0.600	0.752	0.906
C5	CPN2	9606.ENSP00000223642	9606.ENSP00000319464	0	0	0	0	0.064	0.105	0.900	0.049	0.909
C5	C4A	9606.ENSP00000223642	9606.ENSP00000396688	0	0	0	0.690	0.083	0	0.900	0.840	0.929
C5	C4B	9606.ENSP00000223642	9606.ENSP00000415941	0	0	0	0.691	0.063	0	0.900	0.906	0.929
C5	CFB	9606.ENSP00000223642	9606.ENSP00000416561	0	0	0	0	0.065	0.134	0.900	0.586	0.962
C5	C5AR1	9606.ENSP00000223642	9606.ENSP00000347197	0	0	0	0	0	0.345	0.800	0.987	0.998
C5AR1	C5	9606.ENSP00000347197	9606.ENSP00000223642	0	0	0	0	0	0.345	0.800	0.987	0.998
C5AR1	ICAM1	9606.ENSP00000347197	9606.ENSP00000264832	0	0	0	0	0.064	0	0	0.455	0.468
C5AR1	C3AR1	9606.ENSP00000347197	9606.ENSP00000302079	0	0	0	0.817	0.141	0	0.600	0.984	0.706
C5AR1	IL10	9606.ENSP00000347197	9606.ENSP00000412237	0	0	0	0	0.088	0	0	0.469	0.495
C5AR1	CFB	9606.ENSP00000347197	9606.ENSP00000416561	0	0	0	0	0.062	0	0	0.491	0.502
C5AR1	MBL2	9606.ENSP00000347197	9606.ENSP00000363079	0	0	0	0	0.062	0	0	0.613	0.621
C5AR1	C4B	9606.ENSP00000347197	9606.ENSP00000415941	0	0	0	0	0.056	0.086	0	0.683	0.703
C5AR1	C4A	9606.ENSP00000347197	9606.ENSP00000396688	0	0	0	0	0.056	0.086	0	0.683	0.703
CALR	THPO	9606.ENSP00000320866	9606.ENSP00000204615	0	0	0	0	0	0	0	0.417	0.416
CALR	TP53	9606.ENSP00000320866	9606.ENSP00000269305	0	0	0	0	0.060	0	0	0.618	0.626
CALR	IL10	9606.ENSP00000320866	9606.ENSP00000412237	0	0	0	0	0	0	0	0.459	0.459
CALR	AKT1	9606.ENSP00000320866	9606.ENSP00000451828	0	0	0	0	0.065	0.056	0	0.467	0.489
CALR	SH2B3	9606.ENSP00000320866	9606.ENSP00000345492	0	0	0	0	0	0	0	0.526	0.526
CALR	TET2	9606.ENSP00000320866	9606.ENSP00000442788	0	0	0	0	0	0	0	0.601	0.601
CALR	MBL2	9606.ENSP00000320866	9606.ENSP00000363079	0	0	0	0	0	0.270	0	0.618	0.710
CALR	JAK2	9606.ENSP00000320866	9606.ENSP00000371067	0	0	0	0	0	0.056	0	0.759	0.762
CALR	HLA-B	9606.ENSP00000320866	9606.ENSP00000399168	0	0	0	0	0	0.270	0.600	0.378	0.802
CALR	MPL	9606.ENSP00000320866	9606.ENSP00000361548	0	0	0	0	0	0	0	0.985	0.985
CBSL	AKT1	9606.ENSP00000381231	9606.ENSP00000451828	0	0	0	0	0	0.104	0	0.388	0.428
CFB	C5	9606.ENSP00000416561	9606.ENSP00000223642	0	0	0	0	0.065	0.134	0.900	0.586	0.962
CFB	GZMM	9606.ENSP00000416561	9606.ENSP00000264553	0	0	0	0.605	0	0	0.900	0.068	0.901
CFB	C3AR1	9606.ENSP00000416561	9606.ENSP00000302079	0	0	0	0	0.062	0	0	0.520	0.531
CFB	CFHR1	9606.ENSP00000416561	9606.ENSP00000314299	0	0	0	0	0	0.297	0	0.756	0.821
CFB	CFD	9606.ENSP00000416561	9606.ENSP00000332139	0	0	0	0	0.062	0.800	0.900	0.758	0.994
CFB	C5AR1	9606.ENSP00000416561	9606.ENSP00000347197	0	0	0	0	0.062	0	0	0.491	0.502
CFB	SERPINC1	9606.ENSP00000416561	9606.ENSP00000356671	0	0	0	0	0.167	0.120	0	0.363	0.492
CFB	MBL2	9606.ENSP00000416561	9606.ENSP00000363079	0	0	0	0	0.102	0	0	0.465	0.499
CFB	C4A	9606.ENSP00000416561	9606.ENSP00000396688	0	0	0	0	0.310	0.134	0.600	0.700	0.919
CFB	HLA-B	9606.ENSP00000416561	9606.ENSP00000399168	0	0	0	0	0.088	0	0	0.413	0.441
CFB	C4B	9606.ENSP00000416561	9606.ENSP00000415941	0	0	0	0	0.231	0.289	0.600	0.700	0.925
CFD	C5	9606.ENSP00000332139	9606.ENSP00000223642	0	0	0	0	0.049	0.134	0	0.429	0.488
CFD	C3AR1	9606.ENSP00000332139	9606.ENSP00000302079	0	0	0	0	0.117	0	0	0.497	0.537
CFD	C4A	9606.ENSP00000332139	9606.ENSP00000396688	0	0	0	0	0.063	0.366	0	0.411	0.620
CFD	C4B	9606.ENSP00000332139	9606.ENSP00000415941	0	0	0	0	0.063	0.366	0	0.430	0.632
CFD	CFB	9606.ENSP00000332139	9606.ENSP00000416561	0	0	0	0	0.062	0.800	0.900	0.758	0.994
CFHR1	C5	9606.ENSP00000314299	9606.ENSP00000223642	0	0	0	0	0	0.417	0	0.460	0.671
CFHR1	PTX3	9606.ENSP00000314299	9606.ENSP00000295927	0	0	0	0	0	0.486	0	0.828	0.908
CFHR1	MBL2	9606.ENSP00000314299	9606.ENSP00000363079	0	0	0	0	0.065	0	0	0.452	0.465
CFHR1	C4B	9606.ENSP00000314299	9606.ENSP00000415941	0	0	0	0	0	0.297	0	0.600	0.706
CFHR1	C4A	9606.ENSP00000314299	9606.ENSP00000396688	0	0	0	0	0	0.297	0	0.602	0.708
CFHR1	CFB	9606.ENSP00000314299	9606.ENSP00000416561	0	0	0	0	0	0.297	0	0.756	0.821
CFHR1	CYFIP1	9606.ENSP00000314299	9606.ENSP00000481038	0	0	0	0	0.832	0	0	0.060	0.835
CFHR1	TUBGCP5	9606.ENSP00000314299	9606.ENSP00000480316	0	0	0	0	0.937	0	0	0	0.937
COLEC10	PTX3	9606.ENSP00000332723	9606.ENSP00000295927	0	0	0	0	0	0.418	0	0.252	0.546
COLEC10	IGLL5	9606.ENSP00000332723	9606.ENSP00000431254	0	0	0	0	0	0	0.500	0	0.499
COLEC10	MBL2	9606.ENSP00000332723	9606.ENSP00000363079	0	0	0	0.749	0.111	0	0.500	0.633	0.608
COLEC10	C4B	9606.ENSP00000332723	9606.ENSP00000415941	0	0	0	0	0.062	0	0.900	0.294	0.927
COLEC10	C4A	9606.ENSP00000332723	9606.ENSP00000396688	0	0	0	0	0.062	0	0.900	0.297	0.928
CPN2	C5	9606.ENSP00000319464	9606.ENSP00000223642	0	0	0	0	0.064	0.105	0.900	0.049	0.909
CYFIP1	CFHR1	9606.ENSP00000481038	9606.ENSP00000314299	0	0	0	0	0.832	0	0	0.060	0.835
CYFIP1	AKT1	9606.ENSP00000481038	9606.ENSP00000451828	0	0	0	0	0.104	0.063	0	0.859	0.872
CYFIP1	TUBGCP5	9606.ENSP00000481038	9606.ENSP00000480316	0	0.230	0	0	0.937	0	0	0.866	0.992
FAS	ICAM1	9606.ENSP00000347979	9606.ENSP00000264832	0	0	0	0	0.091	0	0	0.557	0.580
FAS	TP53	9606.ENSP00000347979	9606.ENSP00000269305	0	0	0	0	0.063	0	0.900	0.682	0.967
FAS	AKT1	9606.ENSP00000347979	9606.ENSP00000451828	0	0	0	0	0	0	0	0.548	0.548
FAS	IL10	9606.ENSP00000347979	9606.ENSP00000412237	0	0	0	0	0	0	0	0.606	0.606
GZMM	CFB	9606.ENSP00000264553	9606.ENSP00000416561	0	0	0	0.605	0	0	0.900	0.068	0.901
HLA-B	CALR	9606.ENSP00000399168	9606.ENSP00000320866	0	0	0	0	0	0.270	0.600	0.378	0.802
HLA-B	IL23R	9606.ENSP00000399168	9606.ENSP00000321345	0	0	0	0	0	0	0	0.405	0.405
HLA-B	PTPN22	9606.ENSP00000399168	9606.ENSP00000352833	0	0	0	0	0.088	0	0	0.454	0.480
HLA-B	HLA-DRB1	9606.ENSP00000399168	9606.ENSP00000353099	0	0	0	0.621	0.163	0	0.900	0.880	0.941
HLA-B	C4A	9606.ENSP00000399168	9606.ENSP00000396688	0	0	0	0	0.088	0	0	0.529	0.552
HLA-B	CFB	9606.ENSP00000399168	9606.ENSP00000416561	0	0	0	0	0.088	0	0	0.413	0.441
HLA-B	C4B	9606.ENSP00000399168	9606.ENSP00000415941	0	0	0	0	0.077	0	0	0.523	0.540
HLA-B	IGHV4-38-2	9606.ENSP00000399168	9606.ENSP00000478289	0	0	0	0	0	0	0.600	0.117	0.631
HLA-DRB1	PTPN22	9606.ENSP00000353099	9606.ENSP00000352833	0	0	0	0	0.128	0	0.900	0.894	0.989
HLA-DRB1	IL10	9606.ENSP00000353099	9606.ENSP00000412237	0	0	0	0	0	0	0	0.480	0.480
HLA-DRB1	C4B	9606.ENSP00000353099	9606.ENSP00000415941	0	0	0	0	0.084	0	0	0.465	0.489
HLA-DRB1	C4A	9606.ENSP00000353099	9606.ENSP00000396688	0	0	0	0	0.080	0	0	0.469	0.490
HLA-DRB1	STAT4	9606.ENSP00000353099	9606.ENSP00000376134	0	0	0	0	0.069	0	0	0.611	0.622
HLA-DRB1	HLA-B	9606.ENSP00000353099	9606.ENSP00000399168	0	0	0	0.621	0.163	0	0.900	0.880	0.941
ICAM1	PTX3	9606.ENSP00000264832	9606.ENSP00000295927	0	0	0	0	0.076	0	0	0.403	0.424
ICAM1	STAT4	9606.ENSP00000264832	9606.ENSP00000376134	0	0	0	0	0	0	0	0.451	0.451
ICAM1	SERPINC1	9606.ENSP00000264832	9606.ENSP00000356671	0	0	0	0	0	0	0	0.457	0.457
ICAM1	C5AR1	9606.ENSP00000264832	9606.ENSP00000347197	0	0	0	0	0.064	0	0	0.455	0.468
ICAM1	JAK2	9606.ENSP00000264832	9606.ENSP00000371067	0	0	0	0	0.049	0	0	0.467	0.471
ICAM1	TP53	9606.ENSP00000264832	9606.ENSP00000269305	0	0	0	0	0.062	0	0	0.559	0.568
ICAM1	FAS	9606.ENSP00000264832	9606.ENSP00000347979	0	0	0	0	0.091	0	0	0.557	0.580
ICAM1	AKT1	9606.ENSP00000264832	9606.ENSP00000451828	0	0	0	0	0	0	0	0.678	0.678
ICAM1	IL23R	9606.ENSP00000264832	9606.ENSP00000321345	0	0	0	0	0	0	0.900	0.246	0.921
ICAM1	IL10	9606.ENSP00000264832	9606.ENSP00000412237	0	0	0	0	0	0	0.900	0.775	0.976
IFNGR1	THPO	9606.ENSP00000356713	9606.ENSP00000204615	0	0	0	0	0	0	0.600	0.095	0.622
IFNGR1	STAT4	9606.ENSP00000356713	9606.ENSP00000376134	0	0	0	0	0	0.057	0	0.697	0.702
IFNGR1	IL10	9606.ENSP00000356713	9606.ENSP00000412237	0	0	0	0	0	0	0.600	0.549	0.811
IFNGR1	JAK2	9606.ENSP00000356713	9606.ENSP00000371067	0	0	0	0	0.049	0.707	0.900	0.984	0.999
IGHV4-38-2	TP53	9606.ENSP00000478289	9606.ENSP00000269305	0	0	0	0	0	0	0	0.710	0.710
IGHV4-38-2	IGLL1	9606.ENSP00000478289	9606.ENSP00000329312	0	0	0	0	0	0	0.540	0.893	0.948
IGHV4-38-2	PIGR	9606.ENSP00000478289	9606.ENSP00000348888	0	0	0	0	0	0	0.800	0.965	0.992
IGHV4-38-2	JAK2	9606.ENSP00000478289	9606.ENSP00000371067	0	0	0	0	0	0	0	0.427	0.426
IGHV4-38-2	VPREB1	9606.ENSP00000478289	9606.ENSP00000385361	0	0	0	0	0.062	0	0	0.802	0.807
IGHV4-38-2	HLA-B	9606.ENSP00000478289	9606.ENSP00000399168	0	0	0	0	0	0	0.600	0.117	0.631
IGHV4-38-2	IL10	9606.ENSP00000478289	9606.ENSP00000412237	0	0	0	0	0	0	0	0.458	0.457
IGHV4-38-2	IGLL5	9606.ENSP00000478289	9606.ENSP00000431254	0	0	0	0	0.062	0	0.540	0.984	0.992
IGHV4-38-2	AKT1	9606.ENSP00000478289	9606.ENSP00000451828	0	0	0	0	0	0	0	0.405	0.405
IGLL1	VPREB3	9606.ENSP00000329312	9606.ENSP00000248948	0	0	0	0	0	0	0.600	0.858	0.941
IGLL1	IGLL5	9606.ENSP00000329312	9606.ENSP00000431254	0	0	0	0.971	0.746	0.412	0.540	0.787	0.926
IGLL1	IGHV4-38-2	9606.ENSP00000329312	9606.ENSP00000478289	0	0	0	0	0	0	0.540	0.893	0.948
IGLL1	VPREB1	9606.ENSP00000329312	9606.ENSP00000385361	0	0.218	0	0	0.213	0.800	0.600	0.988	0.999
IGLL5	VPREB3	9606.ENSP00000431254	9606.ENSP00000248948	0	0	0	0	0.161	0	0	0.450	0.519
IGLL5	IGLL1	9606.ENSP00000431254	9606.ENSP00000329312	0	0	0	0.971	0.746	0.412	0.540	0.787	0.926
IGLL5	COLEC10	9606.ENSP00000431254	9606.ENSP00000332723	0	0	0	0	0	0	0.500	0	0.499
IGLL5	MBL2	9606.ENSP00000431254	9606.ENSP00000363079	0	0	0	0	0	0	0.500	0.056	0.507
IGLL5	VPREB1	9606.ENSP00000431254	9606.ENSP00000385361	0	0.218	0	0	0.063	0.173	0	0.681	0.780
IGLL5	C4A	9606.ENSP00000431254	9606.ENSP00000396688	0	0	0	0	0	0	0.900	0.066	0.902
IGLL5	C4B	9606.ENSP00000431254	9606.ENSP00000415941	0	0	0	0	0	0	0.900	0.118	0.908
IGLL5	IGHV4-38-2	9606.ENSP00000431254	9606.ENSP00000478289	0	0	0	0	0.062	0	0.540	0.984	0.992
IL10	MEFV	9606.ENSP00000412237	9606.ENSP00000219596	0	0	0	0	0.095	0	0	0.452	0.483
IL10	TNFAIP6	9606.ENSP00000412237	9606.ENSP00000243347	0	0	0	0	0	0	0	0.532	0.532
IL10	ICAM1	9606.ENSP00000412237	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.775	0.976
IL10	TP53	9606.ENSP00000412237	9606.ENSP00000269305	0	0	0	0	0	0	0	0.580	0.580
IL10	PTX3	9606.ENSP00000412237	9606.ENSP00000295927	0	0	0	0	0	0	0	0.563	0.563
IL10	C3AR1	9606.ENSP00000412237	9606.ENSP00000302079	0	0	0	0	0.062	0	0	0.527	0.538
IL10	CALR	9606.ENSP00000412237	9606.ENSP00000320866	0	0	0	0	0	0	0	0.459	0.459
IL10	IL23R	9606.ENSP00000412237	9606.ENSP00000321345	0	0	0	0	0	0	0.600	0.657	0.857
IL10	C5AR1	9606.ENSP00000412237	9606.ENSP00000347197	0	0	0	0	0.088	0	0	0.469	0.495
IL10	FAS	9606.ENSP00000412237	9606.ENSP00000347979	0	0	0	0	0	0	0	0.606	0.606
IL10	PIGR	9606.ENSP00000412237	9606.ENSP00000348888	0	0	0	0	0	0	0	0.400	0.400
IL10	PTPN22	9606.ENSP00000412237	9606.ENSP00000352833	0	0	0	0	0	0	0	0.469	0.469
IL10	HLA-DRB1	9606.ENSP00000412237	9606.ENSP00000353099	0	0	0	0	0	0	0	0.480	0.480
IL10	SERPINC1	9606.ENSP00000412237	9606.ENSP00000356671	0	0	0	0	0	0	0	0.404	0.404
IL10	IFNGR1	9606.ENSP00000412237	9606.ENSP00000356713	0	0	0	0	0	0	0.600	0.549	0.811
IL10	PTEN	9606.ENSP00000412237	9606.ENSP00000361021	0	0	0	0	0	0	0	0.481	0.481
IL10	MPL	9606.ENSP00000412237	9606.ENSP00000361548	0	0	0	0	0	0	0.600	0.134	0.638
IL10	MBL2	9606.ENSP00000412237	9606.ENSP00000363079	0	0	0	0	0	0	0	0.508	0.508
IL10	JAK2	9606.ENSP00000412237	9606.ENSP00000371067	0	0	0	0	0	0.060	0	0.700	0.706
IL10	STAT4	9606.ENSP00000412237	9606.ENSP00000376134	0	0	0	0	0	0.068	0.900	0.707	0.970
IL10	C4A	9606.ENSP00000412237	9606.ENSP00000396688	0	0	0	0	0	0	0	0.404	0.404
IL10	C4B	9606.ENSP00000412237	9606.ENSP00000415941	0	0	0	0	0	0	0	0.402	0.402
IL10	IGHV4-38-2	9606.ENSP00000412237	9606.ENSP00000478289	0	0	0	0	0	0	0	0.458	0.457
IL10	AKT1	9606.ENSP00000412237	9606.ENSP00000451828	0	0	0	0	0	0.060	0	0.690	0.697
IL23R	THPO	9606.ENSP00000321345	9606.ENSP00000204615	0	0	0	0	0	0	0.600	0	0.600
IL23R	ICAM1	9606.ENSP00000321345	9606.ENSP00000264832	0	0	0	0	0	0	0.900	0.246	0.921
IL23R	HLA-B	9606.ENSP00000321345	9606.ENSP00000399168	0	0	0	0	0	0	0	0.405	0.405
IL23R	PTPN22	9606.ENSP00000321345	9606.ENSP00000352833	0	0	0	0	0.062	0	0	0.595	0.603
IL23R	IL10	9606.ENSP00000321345	9606.ENSP00000412237	0	0	0	0	0	0	0.600	0.657	0.857
IL23R	STAT4	9606.ENSP00000321345	9606.ENSP00000376134	0	0	0	0	0.062	0	0.900	0.653	0.964
IL23R	JAK2	9606.ENSP00000321345	9606.ENSP00000371067	0	0	0	0	0	0.213	0.900	0.959	0.996
JAK2	THPO	9606.ENSP00000371067	9606.ENSP00000204615	0	0	0	0	0	0	0.900	0.685	0.967
JAK2	ICAM1	9606.ENSP00000371067	9606.ENSP00000264832	0	0	0	0	0.049	0	0	0.467	0.471
JAK2	TP53	9606.ENSP00000371067	9606.ENSP00000269305	0	0	0	0	0.049	0.056	0	0.685	0.692
JAK2	CALR	9606.ENSP00000371067	9606.ENSP00000320866	0	0	0	0	0	0.056	0	0.759	0.762
JAK2	IL23R	9606.ENSP00000371067	9606.ENSP00000321345	0	0	0	0	0	0.213	0.900	0.959	0.996
JAK2	SH2B3	9606.ENSP00000371067	9606.ENSP00000345492	0	0	0	0	0.062	0.182	0.900	0.884	0.989
JAK2	IFNGR1	9606.ENSP00000371067	9606.ENSP00000356713	0	0	0	0	0.049	0.707	0.900	0.984	0.999
JAK2	PTEN	9606.ENSP00000371067	9606.ENSP00000361021	0	0	0	0	0.066	0.111	0	0.712	0.740
JAK2	MPL	9606.ENSP00000371067	9606.ENSP00000361548	0	0	0	0	0	0.705	0.900	0.943	0.998
JAK2	IGHV4-38-2	9606.ENSP00000371067	9606.ENSP00000478289	0	0	0	0	0	0	0	0.427	0.426
JAK2	IL10	9606.ENSP00000371067	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.700	0.706
JAK2	TET2	9606.ENSP00000371067	9606.ENSP00000442788	0	0	0	0	0.085	0	0	0.739	0.751
JAK2	STAT4	9606.ENSP00000371067	9606.ENSP00000376134	0	0	0	0	0.058	0.140	0.900	0.819	0.983
MBL2	C5	9606.ENSP00000363079	9606.ENSP00000223642	0	0	0	0	0.110	0	0	0.534	0.568
MBL2	PTX3	9606.ENSP00000363079	9606.ENSP00000295927	0	0	0	0	0	0	0	0.977	0.977
MBL2	C3AR1	9606.ENSP00000363079	9606.ENSP00000302079	0	0	0	0	0.062	0	0	0.596	0.604
MBL2	CFHR1	9606.ENSP00000363079	9606.ENSP00000314299	0	0	0	0	0.065	0	0	0.452	0.465
MBL2	CALR	9606.ENSP00000363079	9606.ENSP00000320866	0	0	0	0	0	0.270	0	0.618	0.710
MBL2	COLEC10	9606.ENSP00000363079	9606.ENSP00000332723	0	0	0	0.749	0.111	0	0.500	0.633	0.608
MBL2	C5AR1	9606.ENSP00000363079	9606.ENSP00000347197	0	0	0	0	0.062	0	0	0.613	0.621
MBL2	SERPINC1	9606.ENSP00000363079	9606.ENSP00000356671	0	0	0	0	0.554	0.057	0	0.320	0.689
MBL2	CFB	9606.ENSP00000363079	9606.ENSP00000416561	0	0	0	0	0.102	0	0	0.465	0.499
MBL2	IGLL5	9606.ENSP00000363079	9606.ENSP00000431254	0	0	0	0	0	0	0.500	0.056	0.507
MBL2	IL10	9606.ENSP00000363079	9606.ENSP00000412237	0	0	0	0	0	0	0	0.508	0.508
MBL2	C4A	9606.ENSP00000363079	9606.ENSP00000396688	0	0	0	0	0.103	0	0.900	0.720	0.972
MBL2	C4B	9606.ENSP00000363079	9606.ENSP00000415941	0	0	0	0	0.099	0	0.900	0.734	0.973
MEFV	IL10	9606.ENSP00000219596	9606.ENSP00000412237	0	0	0	0	0.095	0	0	0.452	0.483
MPL	THPO	9606.ENSP00000361548	9606.ENSP00000204615	0	0	0	0	0	0.463	0.900	0.990	0.999
MPL	CALR	9606.ENSP00000361548	9606.ENSP00000320866	0	0	0	0	0	0	0	0.985	0.985
MPL	SH2B3	9606.ENSP00000361548	9606.ENSP00000345492	0	0	0	0	0.062	0	0	0.702	0.709
MPL	AKT1	9606.ENSP00000361548	9606.ENSP00000451828	0	0	0	0	0	0.058	0	0.415	0.425
MPL	TET2	9606.ENSP00000361548	9606.ENSP00000442788	0	0	0	0	0	0	0	0.465	0.465
MPL	IL10	9606.ENSP00000361548	9606.ENSP00000412237	0	0	0	0	0	0	0.600	0.134	0.638
MPL	JAK2	9606.ENSP00000361548	9606.ENSP00000371067	0	0	0	0	0	0.705	0.900	0.943	0.998
MZT1	TUBG2	9606.ENSP00000367049	9606.ENSP00000251412	0	0	0	0	0	0.594	0.600	0.533	0.917
MZT1	TUBG1	9606.ENSP00000367049	9606.ENSP00000251413	0	0	0	0	0.065	0.944	0.600	0.846	0.996
MZT1	TUBGCP5	9606.ENSP00000367049	9606.ENSP00000480316	0	0	0	0	0.066	0.986	0.900	0.790	0.999
